case_index,case_id,achievable_max_10,blocked_items,no_headings,non_directive_tone,suggestive_collegial,gratitude_simple,referral_question_specificity
2,case_002,10,none,2,2,2,2,2
4,case_004,10,none,2,2,2,2,2
5,case_005,10,none,2,2,2,2,2
6,case_006,10,none,2,2,2,2,2
7,case_007,10,none,2,2,2,2,2
8,case_008,10,none,2,2,2,2,2
11,case_011,10,none,2,2,2,2,2
12,case_012,10,none,2,2,2,2,2
13,case_013,10,none,2,2,2,2,2
14,case_014,10,none,2,2,2,2,2
15,case_015,10,none,2,2,2,2,2
16,case_016,10,none,2,2,2,2,2
17,case_017,10,none,2,2,2,2,2
22,case_022,10,none,2,2,2,2,2
23,case_023,10,none,2,2,2,2,2
24,case_024,10,none,2,2,2,2,2
25,case_025,10,none,2,2,2,2,2
26,case_026,10,none,2,2,2,2,2
27,case_027,10,none,2,2,2,2,2
28,case_028,10,none,2,2,2,2,2
29,case_029,10,none,2,2,2,2,2
30,case_030,10,none,2,2,2,2,2
31,case_031,10,none,2,2,2,2,2
32,case_032,10,none,2,2,2,2,2
33,case_033,10,none,2,2,2,2,2
34,case_034,10,none,2,2,2,2,2
35,case_035,10,none,2,2,2,2,2
36,case_036,10,none,2,2,2,2,2
37,case_037,10,none,2,2,2,2,2
38,case_038,10,none,2,2,2,2,2
39,case_039,10,none,2,2,2,2,2
40,case_040,10,none,2,2,2,2,2
42,case_042,10,none,2,2,2,2,2
43,case_043,10,none,2,2,2,2,2
44,case_044,10,none,2,2,2,2,2
45,case_045,10,none,2,2,2,2,2
46,case_046,10,none,2,2,2,2,2
48,case_048,10,none,2,2,2,2,2
51,case_051,10,none,2,2,2,2,2
54,case_054,10,none,2,2,2,2,2
55,case_055,10,none,2,2,2,2,2
56,case_056,10,none,2,2,2,2,2
57,case_057,10,none,2,2,2,2,2
58,case_058,10,none,2,2,2,2,2
59,case_059,10,none,2,2,2,2,2
60,case_060,10,none,2,2,2,2,2
61,case_061,10,none,2,2,2,2,2
63,case_063,10,none,2,2,2,2,2
64,case_064,10,none,2,2,2,2,2
65,case_065,10,none,2,2,2,2,2
66,case_066,10,none,2,2,2,2,2
67,case_067,10,none,2,2,2,2,2
68,case_068,10,none,2,2,2,2,2
69,case_069,10,none,2,2,2,2,2
70,case_070,10,none,2,2,2,2,2
71,case_071,10,none,2,2,2,2,2
72,case_072,10,none,2,2,2,2,2
73,case_073,10,none,2,2,2,2,2
74,case_074,10,none,2,2,2,2,2
75,case_075,10,none,2,2,2,2,2
76,case_076,10,none,2,2,2,2,2
77,case_077,10,none,2,2,2,2,2
78,case_078,10,none,2,2,2,2,2
79,case_079,10,none,2,2,2,2,2
81,case_081,10,none,2,2,2,2,2
82,case_082,10,none,2,2,2,2,2
83,case_083,10,none,2,2,2,2,2
84,case_084,10,none,2,2,2,2,2
85,case_085,10,none,2,2,2,2,2
86,case_086,10,none,2,2,2,2,2
87,case_087,10,none,2,2,2,2,2
88,case_088,10,none,2,2,2,2,2
89,case_089,10,none,2,2,2,2,2
90,case_090,10,none,2,2,2,2,2
91,case_091,10,none,2,2,2,2,2
92,case_092,10,none,2,2,2,2,2
93,case_093,10,none,2,2,2,2,2
94,case_094,10,none,2,2,2,2,2
95,case_095,10,none,2,2,2,2,2
96,case_096,10,none,2,2,2,2,2
97,case_097,10,none,2,2,2,2,2
98,case_098,10,none,2,2,2,2,2
99,case_099,10,none,2,2,2,2,2
100,case_100,10,none,2,2,2,2,2
102,case_102,10,none,2,2,2,2,2
103,case_103,10,none,2,2,2,2,2
104,case_104,10,none,2,2,2,2,2
105,case_105,10,none,2,2,2,2,2
106,case_106,10,none,2,2,2,2,2
107,case_107,10,none,2,2,2,2,2
108,case_108,10,none,2,2,2,2,2
